Product URL,Product Name,Price,Ratings,Reviews
,,,,
/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap","₹1,337",4.2 out of 5 stars,(696)
/BROGBUS-Business-Messenger-Sling-10-05inch/dp/B09QLD9GJY,BROGBUS Leather Men Bag Business Messenger,₹989,4.1 out of 5 stars,(367)
/Isle-Locada-Hidesign-Womens-Sling/dp/B07TDTPRJ9,Isle Locada by Hidesign Women's SLING BAG(MARSALA/BROWN),"₹1,899",4.5 out of 5 stars,(353)
,,,,
/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"₹1,695",4.3 out of 5 stars,"(3,184)"
/Amazon-Brand-Womens-Sling-Light/dp/B07YXBTD6Z,Amazon Brand - Eden & Ivy Women's Sling Bag,₹562.17,4.3 out of 5 stars,(609)
/SIDRUM-D2-Adjustable-Compatible-Mirrorless/dp/B09KH6CN1M,"SIDRUM D2 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Grey)",₹664,4.4 out of 5 stars,(159)
/Mammon-Womens-Leather-Handbag-4-teddy-pink/dp/B08N5F7P68,Mammon Women's PU Leather Handbag Combo,₹636,3.4 out of 5 stars,"(6,911)"
/ADISA-Womens-Sling-SL5059-CRE_Off-White/dp/B09154JPWQ,ADISA Women's Quilted Cross Body Sling Bag,₹495,4.1 out of 5 stars,"(2,147)"
/Isle-Locada-Hidesign-Womens-Sling/dp/B07L6NGWLP,Hidesign Women Sling Bag (Blue),"₹1,499",4.4 out of 5 stars,(250)
/Nivia-5177SB-Polyester-String-Blue/dp/B071XMLFTL,NIVIA String Bag/Drawstring Bag/Sports Bag Boys/Polyester String Bag/Kit Bags/Drawstring Sports Bag/Dori Backpack/Gym Bag/String Bag Men Waterproof/Drawstring Backpack (Sky Blue),₹193,4.2 out of 5 stars,(444)
,,,,
/Business-Shoulder-Leather-Material-Resistant/dp/B07MH9SV9L,ZOUK Orange Wave Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - Tidalwave,"₹1,699",4.4 out of 5 stars,"(1,694)"
/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",₹899,3.7 out of 5 stars,(764)
/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZVTNCP,"LuvLap Baby Breast Milk Storage Bags (Pack of 50), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",₹549,4.3 out of 5 stars,(516)
/American-Tourister-Polypropylene-FH0-001/dp/B07Q2DV3H1,American Tourister Skittle Nxt Polypropylene 50 cms Orange Kid's Luggage (FH0 (0) 96 001),"₹2,299",4.5 out of 5 stars,(664)
/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,₹395,3.9 out of 5 stars,(216)
/Isle-Locada-Hidesign-Womens-Sling/dp/B07SYJL1P7,Hidesign Women Sling Bag (Blue),"₹1,999",4.4 out of 5 stars,(103)
